"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2292
	"Calhoun County, AL"	"01015"	1262
	"Etowah County, AL"	"01055"	1171
	"Houston County, AL"	"01069"	1337
	"Jefferson County, AL"	"01073"	7929
	"Lee County, AL"	"01081"	1842
	"Madison County, AL"	"01089"	4337
	"Mobile County, AL"	"01097"	5302
	"Montgomery County, AL"	"01101"	3138
	"Morgan County, AL"	"01103"	1464
	"Shelby County, AL"	"01117"	2230
	"Tuscaloosa County, AL"	"01125"	2570
	"Unidentified Counties, AL"	"01999"	22773
	"Anchorage Borough, AK"	"02020"	3773
	"Unidentified Counties, AK"	"02999"	5696
	"Cochise County, AZ"	"04003"	1279
	"Coconino County, AZ"	"04005"	1328
	"Maricopa County, AZ"	"04013"	49365
	"Mohave County, AZ"	"04015"	1710
	"Navajo County, AZ"	"04017"	1305
	"Pima County, AZ"	"04019"	10050
	"Pinal County, AZ"	"04021"	4650
	"Yavapai County, AZ"	"04025"	1689
	"Yuma County, AZ"	"04027"	2980
	"Unidentified Counties, AZ"	"04999"	2591
	"Benton County, AR"	"05007"	3661
	"Faulkner County, AR"	"05045"	1494
	"Pulaski County, AR"	"05119"	5041
	"Saline County, AR"	"05125"	1285
	"Sebastian County, AR"	"05131"	1550
	"Washington County, AR"	"05143"	3086
	"Unidentified Counties, AR"	"05999"	19134
	"Alameda County, CA"	"06001"	17316
	"Butte County, CA"	"06007"	1991
	"Contra Costa County, CA"	"06013"	11760
	"El Dorado County, CA"	"06017"	1465
	"Fresno County, CA"	"06019"	13825
	"Humboldt County, CA"	"06023"	1265
	"Imperial County, CA"	"06025"	2329
	"Kern County, CA"	"06029"	12356
	"Kings County, CA"	"06031"	2252
	"Los Angeles County, CA"	"06037"	98060
	"Madera County, CA"	"06039"	2097
	"Marin County, CA"	"06041"	2078
	"Merced County, CA"	"06047"	3732
	"Monterey County, CA"	"06053"	5575
	"Napa County, CA"	"06055"	1207
	"Orange County, CA"	"06059"	31014
	"Placer County, CA"	"06061"	3494
	"Riverside County, CA"	"06065"	26955
	"Sacramento County, CA"	"06067"	18032
	"San Bernardino County, CA"	"06071"	26706
	"San Diego County, CA"	"06073"	37161
	"San Francisco County, CA"	"06075"	8014
	"San Joaquin County, CA"	"06077"	9690
	"San Luis Obispo County, CA"	"06079"	2360
	"San Mateo County, CA"	"06081"	7716
