"Notes"	"County"	"County Code"	Births
	"Ada County, ID"	"16001"	4842
	"Bonneville County, ID"	"16019"	1876
	"Canyon County, ID"	"16027"	3065
	"Kootenai County, ID"	"16055"	1811
	"Unidentified Counties, ID"	"16999"	10587
	"Champaign County, IL"	"17019"	2295
	"Cook County, IL"	"17031"	64374
	"DeKalb County, IL"	"17037"	1142
	"DuPage County, IL"	"17043"	10337
	"Kane County, IL"	"17089"	6339
	"Kankakee County, IL"	"17091"	1289
	"Kendall County, IL"	"17093"	1481
	"Lake County, IL"	"17097"	7607
	"LaSalle County, IL"	"17099"	1180
	"McHenry County, IL"	"17111"	3185
	"McLean County, IL"	"17113"	2004
	"Macon County, IL"	"17115"	1298
	"Madison County, IL"	"17119"	2892
	"Peoria County, IL"	"17143"	2533
	"Rock Island County, IL"	"17161"	1668
	"St. Clair County, IL"	"17163"	3221
	"Sangamon County, IL"	"17167"	2289
	"Tazewell County, IL"	"17179"	1450
	"Will County, IL"	"17197"	7427
	"Winnebago County, IL"	"17201"	3501
	"Unidentified Counties, IL"	"17999"	21878
	"Allen County, IN"	"18003"	5206
	"Clark County, IN"	"18019"	1474
	"Delaware County, IN"	"18035"	1126
	"Elkhart County, IN"	"18039"	3087
	"Hamilton County, IN"	"18057"	3835
	"Hendricks County, IN"	"18063"	1720
	"Johnson County, IN"	"18081"	1814
	"Lake County, IN"	"18089"	5601
	"La Porte County, IN"	"18091"	1272
	"Madison County, IN"	"18095"	1396
	"Marion County, IN"	"18097"	14389
	"Monroe County, IN"	"18105"	1249
	"Porter County, IN"	"18127"	1642
	"St. Joseph County, IN"	"18141"	3497
	"Tippecanoe County, IN"	"18157"	2240
	"Vanderburgh County, IN"	"18163"	2128
	"Vigo County, IN"	"18167"	1224
	"Unidentified Counties, IN"	"18999"	29270
	"Black Hawk County, IA"	"19013"	1732
	"Johnson County, IA"	"19103"	1751
	"Linn County, IA"	"19113"	2799
	"Polk County, IA"	"19153"	6943
	"Scott County, IA"	"19163"	2117
	"Woodbury County, IA"	"19193"	1416
	"Unidentified Counties, IA"	"19999"	21672
	"Douglas County, KS"	"20045"	1134
	"Johnson County, KS"	"20091"	7223
	"Sedgwick County, KS"	"20173"	6924
	"Shawnee County, KS"	"20177"	2074
	"Wyandotte County, KS"	"20209"	2541
	"Unidentified Counties, KS"	"20999"	16623
	"Boone County, KY"	"21015"	1716
	"Fayette County, KY"	"21067"	3912
	"Hardin County, KY"	"21093"	1449
	"Jefferson County, KY"	"21111"	9908
	"Kenton County, KY"	"21117"	2331
	"Warren County, KY"	"21227"	1714
	"Unidentified Counties, KY"	"21999"	33722
	"Ascension Parish, LA"	"22005"	1704
	"Bossier Parish, LA"	"22015"	1627
	"Caddo Parish, LA"	"22017"	3231
	"Calcasieu Parish, LA"	"22019"	2987
	"East Baton Rouge Parish, LA"	"22033"	5975
	"Jefferson Parish, LA"	"22051"	5835
	"Lafayette Parish, LA"	"22055"	3339
	"Livingston Parish, LA"	"22063"	1828
	"Orleans Parish, LA"	"22071"	4619
	"Ouachita Parish, LA"	"22073"	2152
	"Rapides Parish, LA"	"22079"	1724
	"St. Tammany Parish, LA"	"22103"	2865
	"Tangipahoa Parish, LA"	"22105"	1986
	"Terrebonne Parish, LA"	"22109"	1544
	"Unidentified Counties, LA"	"22999"	19602
	"Androscoggin County, ME"	"23001"	1241
	"Cumberland County, ME"	"23005"	2733
	"Kennebec County, ME"	"23011"	1132
	"Penobscot County, ME"	"23019"	1433
	"York County, ME"	"23031"	1812
	"Unidentified Counties, ME"	"23999"	3947
	"Anne Arundel County, MD"	"24003"	6898
	"Baltimore County, MD"	"24005"	9844
	"Carroll County, MD"	"24013"	1570
	"Cecil County, MD"	"24015"	1145
	"Charles County, MD"	"24017"	1842
	"Frederick County, MD"	"24021"	2721
	"Harford County, MD"	"24025"	2624
	"Howard County, MD"	"24027"	3528
	"Montgomery County, MD"	"24031"	12681
	"Prince George's County, MD"	"24033"	12393
	"St. Mary's County, MD"	"24037"	1352
	"Washington County, MD"	"24043"	1638
	"Baltimore city, MD"	"24510"	7941
	"Unidentified Counties, MD"	"24999"	5464
	"Barnstable County, MA"	"25001"	1546
	"Berkshire County, MA"	"25003"	993
	"Bristol County, MA"	"25005"	5733
	"Essex County, MA"	"25009"	8655
	"Hampden County, MA"	"25013"	4975
	"Hampshire County, MA"	"25015"	1003
	"Middlesex County, MA"	"25017"	16736
	"Norfolk County, MA"	"25021"	7134
	"Plymouth County, MA"	"25023"	5189
	"Suffolk County, MA"	"25025"	9359
	"Worcester County, MA"	"25027"	8513
	"Unidentified Counties, MA"	"25999"	866
	"Allegan County, MI"	"26005"	1306
	"Bay County, MI"	"26017"	1009
	"Berrien County, MI"	"26021"	1737
	"Calhoun County, MI"	"26025"	1535
	"Eaton County, MI"	"26045"	1097
	"Genesee County, MI"	"26049"	4739
	"Ingham County, MI"	"26065"	3237
	"Jackson County, MI"	"26075"	1772
	"Kalamazoo County, MI"	"26077"	3033
	"Kent County, MI"	"26081"	8697
	"Livingston County, MI"	"26093"	1764
	"Macomb County, MI"	"26099"	9240
	"Monroe County, MI"	"26115"	1482
	"Muskegon County, MI"	"26121"	2125
	"Oakland County, MI"	"26125"	13235
	"Ottawa County, MI"	"26139"	3264
	"Saginaw County, MI"	"26145"	2244
	"St. Clair County, MI"	"26147"	1462
	"Washtenaw County, MI"	"26161"	3536
	"Wayne County, MI"	"26163"	23279
	"Unidentified Counties, MI"	"26999"	21633
	"Anoka County, MN"	"27003"	4215
	"Dakota County, MN"	"27037"	5147
	"Hennepin County, MN"	"27053"	16322
	"Olmsted County, MN"	"27109"	2113
	"Ramsey County, MN"	"27123"	7686
	"St. Louis County, MN"	"27137"	1989
	"Scott County, MN"	"27139"	1835
	"Stearns County, MN"	"27145"	2054
	"Washington County, MN"	"27163"	2724
	"Wright County, MN"	"27171"	1706
	"Unidentified Counties, MN"	"27999"	22804
	"DeSoto County, MS"	"28033"	2128
	"Harrison County, MS"	"28047"	2673
	"Hinds County, MS"	"28049"	3126
	"Jackson County, MS"	"28059"	1661
	"Rankin County, MS"	"28121"	1732
	"Unidentified Counties, MS"	"28999"	26037
	"Boone County, MO"	"29019"	2072
	"Clay County, MO"	"29047"	3040
	"Franklin County, MO"	"29071"	1256
	"Greene County, MO"	"29077"	3339
	"Jackson County, MO"	"29095"	9291
	"Jasper County, MO"	"29097"	1596
	"Jefferson County, MO"	"29099"	2516
	"St. Charles County, MO"	"29183"	4459
	"St. Louis County, MO"	"29189"	11374
	"St. Louis city, MO"	"29510"	4138
	"Unidentified Counties, MO"	"29999"	29953
	"Missoula County, MT"	"30063"	1138
	"Yellowstone County, MT"	"30111"	1898
	"Unidentified Counties, MT"	"30999"	8763
	"Douglas County, NE"	"31055"	8305
	"Lancaster County, NE"	"31109"	3925
	"Sarpy County, NE"	"31153"	2589
	"Unidentified Counties, NE"	"31999"	11002
	"Clark County, NV"	"32003"	26949
	"Washoe County, NV"	"32031"	5210
	"Unidentified Counties, NV"	"32999"	3597
	"Hillsborough County, NH"	"33011"	4178
	"Merrimack County, NH"	"33013"	1305
	"Rockingham County, NH"	"33015"	2669
	"Strafford County, NH"	"33017"	1180
	"Unidentified Counties, NH"	"33999"	2784
	"Atlantic County, NJ"	"34001"	2804
	"Bergen County, NJ"	"34003"	9339
	"Burlington County, NJ"	"34005"	4424
	"Camden County, NJ"	"34007"	6022
	"Cumberland County, NJ"	"34011"	1839
	"Essex County, NJ"	"34013"	10298
	"Gloucester County, NJ"	"34015"	2891
	"Hudson County, NJ"	"34017"	10165
	"Hunterdon County, NJ"	"34019"	952
	"Mercer County, NJ"	"34021"	4081
	"Middlesex County, NJ"	"34023"	9123
	"Monmouth County, NJ"	"34025"	5737
	"Morris County, NJ"	"34027"	4636
	"Ocean County, NJ"	"34029"	8597
	"Passaic County, NJ"	"34031"	6790
	"Somerset County, NJ"	"34035"	3068
	"Sussex County, NJ"	"34037"	1213
	"Union County, NJ"	"34039"	6859
	"Warren County, NJ"	"34041"	935
	"Unidentified Counties, NJ"	"34999"	1477
	"Bernalillo County, NM"	"35001"	7436
	"Dona Ana County, NM"	"35013"	2674
	"Sandoval County, NM"	"35043"	1412
	"San Juan County, NM"	"35045"	1472
	"Santa Fe County, NM"	"35049"	1222
	"Unidentified Counties, NM"	"35999"	9551
	"Albany County, NY"	"36001"	3083
	"Bronx County, NY"	"36005"	20588
	"Broome County, NY"	"36007"	1979
	"Chautauqua County, NY"	"36013"	1344
	"Dutchess County, NY"	"36027"	2604
	"Erie County, NY"	"36029"	9870
	"Jefferson County, NY"	"36045"	2009
	"Kings County, NY"	"36047"	39192
	"Monroe County, NY"	"36055"	7893
	"Nassau County, NY"	"36059"	14178
	"New York County, NY"	"36061"	17504
	"Niagara County, NY"	"36063"	2114
	"Oneida County, NY"	"36065"	2555
	"Onondaga County, NY"	"36067"	5052
	"Ontario County, NY"	"36069"	984
	"Orange County, NY"	"36071"	5092
	"Oswego County, NY"	"36075"	1248
	"Queens County, NY"	"36081"	29008
	"Rensselaer County, NY"	"36083"	1589
	"Richmond County, NY"	"36085"	5444
	"Rockland County, NY"	"36087"	5481
	"St. Lawrence County, NY"	"36089"	1038
	"Saratoga County, NY"	"36091"	2135
	"Schenectady County, NY"	"36093"	1814
	"Suffolk County, NY"	"36103"	15359
	"Tompkins County, NY"	"36109"	767
	"Ulster County, NY"	"36111"	1453
	"Westchester County, NY"	"36119"	10400
	"Unidentified Counties, NY"	"36999"	17960
	"Alamance County, NC"	"37001"	1940
	"Brunswick County, NC"	"37019"	1008
	"Buncombe County, NC"	"37021"	2393
	"Cabarrus County, NC"	"37025"	2593
	"Catawba County, NC"	"37035"	1652
	"Craven County, NC"	"37049"	1386
	"Cumberland County, NC"	"37051"	5506
	"Davidson County, NC"	"37057"	1761
	"Durham County, NC"	"37063"	4181
	"Forsyth County, NC"	"37067"	4368
	"Gaston County, NC"	"37071"	2588
	"Guilford County, NC"	"37081"	6218
	"Harnett County, NC"	"37085"	1886
	"Henderson County, NC"	"37089"	1040
	"Iredell County, NC"	"37097"	1858
	"Johnston County, NC"	"37101"	2318
	"Mecklenburg County, NC"	"37119"	14753
	"New Hanover County, NC"	"37129"	2267
	"Onslow County, NC"	"37133"	4061
	"Orange County, NC"	"37135"	1179
	"Pitt County, NC"	"37147"	2051
	"Randolph County, NC"	"37151"	1576
	"Robeson County, NC"	"37155"	1782
	"Rowan County, NC"	"37159"	1587
	"Union County, NC"	"37179"	2382
	"Wake County, NC"	"37183"	12682
	"Wayne County, NC"	"37191"	1611
	"Unidentified Counties, NC"	"37999"	31498
	"Cass County, ND"	"38017"	2534
	"Unidentified Counties, ND"	"38999"	8203
	"Allen County, OH"	"39003"	1244
	"Ashtabula County, OH"	"39007"	1149
	"Butler County, OH"	"39017"	4466
	"Clark County, OH"	"39023"	1614
	"Clermont County, OH"	"39025"	2311
	"Columbiana County, OH"	"39029"	1025
	"Cuyahoga County, OH"	"39035"	14550
	"Delaware County, OH"	"39041"	2074
	"Fairfield County, OH"	"39045"	1755
	"Franklin County, OH"	"39049"	18886
	"Greene County, OH"	"39057"	1744
	"Hamilton County, OH"	"39061"	10833
	"Lake County, OH"	"39085"	2198
	"Licking County, OH"	"39089"	1866
	"Lorain County, OH"	"39093"	3183
	"Lucas County, OH"	"39095"	5445
	"Mahoning County, OH"	"39099"	2458
	"Medina County, OH"	"39103"	1720
	"Miami County, OH"	"39109"	1154
	"Montgomery County, OH"	"39113"	6730
	"Portage County, OH"	"39133"	1351
	"Richland County, OH"	"39139"	1317
	"Stark County, OH"	"39151"	4025
	"Summit County, OH"	"39153"	5904
	"Trumbull County, OH"	"39155"	2107
	"Warren County, OH"	"39165"	2262
