"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2290
	"Calhoun County, AL"	"01015"	1265
	"Etowah County, AL"	"01055"	1191
	"Houston County, AL"	"01069"	1368
	"Jefferson County, AL"	"01073"	8437
	"Lee County, AL"	"01081"	1810
	"Madison County, AL"	"01089"	4262
	"Mobile County, AL"	"01097"	5549
	"Montgomery County, AL"	"01101"	3139
	"Morgan County, AL"	"01103"	1432
	"Shelby County, AL"	"01117"	2250
	"Tuscaloosa County, AL"	"01125"	2406
	"Unidentified Counties, AL"	"01999"	22362
	"Anchorage Borough, AK"	"02020"	3975
	"Unidentified Counties, AK"	"02999"	6111
	"Cochise County, AZ"	"04003"	1354
	"Coconino County, AZ"	"04005"	1506
	"Maricopa County, AZ"	"04013"	51854
	"Mohave County, AZ"	"04015"	1796
	"Navajo County, AZ"	"04017"	1381
	"Pima County, AZ"	"04019"	10671
	"Pinal County, AZ"	"04021"	4498
	"Yavapai County, AZ"	"04025"	1772
	"Yuma County, AZ"	"04027"	3034
	"Unidentified Counties, AZ"	"04999"	2857
	"Benton County, AR"	"05007"	3778
	"Faulkner County, AR"	"05045"	1467
	"Pulaski County, AR"	"05119"	5123
	"Saline County, AR"	"05125"	1339
	"Sebastian County, AR"	"05131"	1662
	"Washington County, AR"	"05143"	3227
	"Unidentified Counties, AR"	"05999"	20422
	"Alameda County, CA"	"06001"	18240
	"Butte County, CA"	"06007"	2430
	"Contra Costa County, CA"	"06013"	12002
	"El Dorado County, CA"	"06017"	1674
	"Fresno County, CA"	"06019"	14465
	"Humboldt County, CA"	"06023"	1364
	"Imperial County, CA"	"06025"	2629
	"Kern County, CA"	"06029"	12916
	"Kings County, CA"	"06031"	2262
	"Los Angeles County, CA"	"06037"	110271
	"Madera County, CA"	"06039"	2079
	"Marin County, CA"	"06041"	2127
	"Merced County, CA"	"06047"	3875
	"Monterey County, CA"	"06053"	5895
	"Napa County, CA"	"06055"	1204
	"Orange County, CA"	"06059"	35679
	"Placer County, CA"	"06061"	3663
	"Riverside County, CA"	"06065"	28725
	"Sacramento County, CA"	"06067"	19102
	"San Bernardino County, CA"	"06071"	28994
	"San Diego County, CA"	"06073"	40070
	"San Francisco County, CA"	"06075"	8697
	"San Joaquin County, CA"	"06077"	9841
	"San Luis Obispo County, CA"	"06079"	2445
	"San Mateo County, CA"	"06081"	8330
	"Santa Barbara County, CA"	"06083"	5268
	"Santa Clara County, CA"	"06085"	21292
	"Santa Cruz County, CA"	"06087"	2449
	"Shasta County, CA"	"06089"	1966
	"Solano County, CA"	"06095"	5033
	"Sonoma County, CA"	"06097"	4526
	"Stanislaus County, CA"	"06099"	7364
	"Tulare County, CA"	"06107"	6905
	"Ventura County, CA"	"06111"	9065
	"Yolo County, CA"	"06113"	2135
	"Unidentified Counties, CA"	"06999"	9938
	"Adams County, CO"	"08001"	6293
	"Arapahoe County, CO"	"08005"	7401
	"Boulder County, CO"	"08013"	2560
	"Denver County, CO"	"08031"	9424
	"Douglas County, CO"	"08035"	3395
	"El Paso County, CO"	"08041"	9107
	"Jefferson County, CO"	"08059"	5654
	"Larimer County, CO"	"08069"	3219
	"Mesa County, CO"	"08077"	1655
	"Pueblo County, CO"	"08101"	1829
	"Weld County, CO"	"08123"	4243
	"Unidentified Counties, CO"	"08999"	8105
	"Fairfield County, CT"	"09001"	9726
	"Hartford County, CT"	"09003"	9239
	"Litchfield County, CT"	"09005"	1364
	"Middlesex County, CT"	"09007"	1244
	"New Haven County, CT"	"09009"	8519
	"New London County, CT"	"09011"	2457
	"Tolland County, CT"	"09013"	1114
	"Windham County, CT"	"09015"	1062
	"Kent County, DE"	"10001"	2145
	"New Castle County, DE"	"10003"	6179
	"Sussex County, DE"	"10005"	2297
	"District of Columbia, DC"	"11001"	9212
	"Alachua County, FL"	"12001"	2733
	"Bay County, FL"	"12005"	2187
	"Brevard County, FL"	"12009"	5309
	"Broward County, FL"	"12011"	21928
	"Charlotte County, FL"	"12015"	1040
	"Citrus County, FL"	"12017"	1025
	"Clay County, FL"	"12019"	2182
	"Collier County, FL"	"12021"	3199
	"Duval County, FL"	"12031"	12973
