"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2247
	"Calhoun County, AL"	"01015"	1357
	"Etowah County, AL"	"01055"	1214
	"Houston County, AL"	"01069"	1333
	"Jefferson County, AL"	"01073"	8655
	"Lee County, AL"	"01081"	1898
	"Madison County, AL"	"01089"	4228
	"Mobile County, AL"	"01097"	5504
	"Montgomery County, AL"	"01101"	3139
	"Morgan County, AL"	"01103"	1470
	"Shelby County, AL"	"01117"	2387
	"Tuscaloosa County, AL"	"01125"	2591
	"Unidentified Counties, AL"	"01999"	23128
	"Anchorage Borough, AK"	"02020"	4518
	"Unidentified Counties, AK"	"02999"	6691
	"Cochise County, AZ"	"04003"	1529
	"Coconino County, AZ"	"04005"	1612
	"Maricopa County, AZ"	"04013"	54126
	"Mohave County, AZ"	"04015"	1802
	"Navajo County, AZ"	"04017"	1497
	"Pima County, AZ"	"04019"	11421
	"Pinal County, AZ"	"04021"	4470
	"Yavapai County, AZ"	"04025"	1868
	"Yuma County, AZ"	"04027"	3007
	"Unidentified Counties, AZ"	"04999"	3188
	"Benton County, AR"	"05007"	3622
	"Faulkner County, AR"	"05045"	1534
	"Pulaski County, AR"	"05119"	5348
	"Saline County, AR"	"05125"	1326
	"Sebastian County, AR"	"05131"	1721
	"Washington County, AR"	"05143"	3280
	"Unidentified Counties, AR"	"05999"	21443
	"Alameda County, CA"	"06001"	19573
	"Butte County, CA"	"06007"	2490
	"Contra Costa County, CA"	"06013"	12340
	"El Dorado County, CA"	"06017"	1601
	"Fresno County, CA"	"06019"	15129
	"Humboldt County, CA"	"06023"	1482
	"Imperial County, CA"	"06025"	2939
	"Kern County, CA"	"06029"	13728
	"Kings County, CA"	"06031"	2248
	"Los Angeles County, CA"	"06037"	123092
	"Madera County, CA"	"06039"	2355
	"Marin County, CA"	"06041"	2252
	"Merced County, CA"	"06047"	4117
	"Monterey County, CA"	"06053"	6219
	"Napa County, CA"	"06055"	1406
	"Orange County, CA"	"06059"	38106
	"Placer County, CA"	"06061"	3732
	"Riverside County, CA"	"06065"	30661
	"Sacramento County, CA"	"06067"	19588
	"San Bernardino County, CA"	"06071"	31032
	"San Diego County, CA"	"06073"	42720
	"San Francisco County, CA"	"06075"	9062
	"San Joaquin County, CA"	"06077"	10268
	"San Luis Obispo County, CA"	"06079"	2581
	"San Mateo County, CA"	"06081"	8960
	"Santa Barbara County, CA"	"06083"	5501
	"Santa Clara County, CA"	"06085"	23042
	"Santa Cruz County, CA"	"06087"	2799
	"Shasta County, CA"	"06089"	2048
	"Solano County, CA"	"06095"	5259
	"Sonoma County, CA"	"06097"	4962
	"Stanislaus County, CA"	"06099"	7862
	"Tulare County, CA"	"06107"	7146
	"Ventura County, CA"	"06111"	9592
	"Yolo County, CA"	"06113"	2423
	"Unidentified Counties, CA"	"06999"	10512
	"Adams County, CO"	"08001"	6672
	"Arapahoe County, CO"	"08005"	7910
	"Boulder County, CO"	"08013"	2729
	"Denver County, CO"	"08031"	10006
	"Douglas County, CO"	"08035"	3488
	"El Paso County, CO"	"08041"	9490
	"Jefferson County, CO"	"08059"	6104
	"Larimer County, CO"	"08069"	3375
	"Mesa County, CO"	"08077"	1770
	"Pueblo County, CO"	"08101"	1883
	"Weld County, CO"	"08123"	4306
	"Unidentified Counties, CO"	"08999"	8880
	"Fairfield County, CT"	"09001"	10064
	"Hartford County, CT"	"09003"	9442
	"Litchfield County, CT"	"09005"	1422
	"Middlesex County, CT"	"09007"	1277
	"New Haven County, CT"	"09009"	8886
	"New London County, CT"	"09011"	2647
	"Tolland County, CT"	"09013"	1175
	"Windham County, CT"	"09015"	1102
	"Kent County, DE"	"10001"	2190
	"New Castle County, DE"	"10003"	6501
	"Sussex County, DE"	"10005"	2301
	"District of Columbia, DC"	"11001"	9858
	"Alachua County, FL"	"12001"	2862
	"Bay County, FL"	"12005"	2343
	"Brevard County, FL"	"12009"	5273
	"Broward County, FL"	"12011"	22563
	"Charlotte County, FL"	"12015"	1037
	"Citrus County, FL"	"12017"	1064
	"Clay County, FL"	"12019"	2209
	"Collier County, FL"	"12021"	3322
	"Duval County, FL"	"12031"	13292
	"Escambia County, FL"	"12033"	3967
	"Hernando County, FL"	"12053"	1585
	"Hillsborough County, FL"	"12057"	17325
	"Indian River County, FL"	"12061"	1245
	"Lake County, FL"	"12069"	3269
	"Lee County, FL"	"12071"	6750
	"Leon County, FL"	"12073"	2989
	"Manatee County, FL"	"12081"	3445
	"Marion County, FL"	"12083"	3472
	"Martin County, FL"	"12085"	1273
	"Miami-Dade County, FL"	"12086"	32697
	"Okaloosa County, FL"	"12091"	2784
	"Orange County, FL"	"12095"	16653
	"Osceola County, FL"	"12097"	4328
	"Palm Beach County, FL"	"12099"	14965
	"Pasco County, FL"	"12101"	5108
	"Pinellas County, FL"	"12103"	8480
	"Polk County, FL"	"12105"	7804
	"St. Johns County, FL"	"12109"	2120
	"St. Lucie County, FL"	"12111"	2999
	"Santa Rosa County, FL"	"12113"	1906
	"Sarasota County, FL"	"12115"	2926
	"Seminole County, FL"	"12117"	4753
	"Volusia County, FL"	"12127"	5032
	"Unidentified Counties, FL"	"12999"	13182
	"Bartow County, GA"	"13015"	1338
	"Bibb County, GA"	"13021"	2191
	"Carroll County, GA"	"13045"	1615
	"Chatham County, GA"	"13051"	3975
	"Cherokee County, GA"	"13057"	2700
	"Clarke County, GA"	"13059"	1392
	"Clayton County, GA"	"13063"	3809
	"Cobb County, GA"	"13067"	9579
	"Columbia County, GA"	"13073"	1831
	"Coweta County, GA"	"13077"	1634
	"DeKalb County, GA"	"13089"	11060
	"Douglas County, GA"	"13097"	1693
	"Fayette County, GA"	"13113"	911
	"Forsyth County, GA"	"13117"	2297
	"Fulton County, GA"	"13121"	13123
	"Gwinnett County, GA"	"13135"	11365
	"Hall County, GA"	"13139"	2574
	"Henry County, GA"	"13151"	2511
	"Houston County, GA"	"13153"	1956
	"Lowndes County, GA"	"13185"	1605
	"Muscogee County, GA"	"13215"	2912
	"Paulding County, GA"	"13223"	1644
	"Richmond County, GA"	"13245"	3061
	"Whitfield County, GA"	"13313"	1424
	"Unidentified Counties, GA"	"13999"	41842
	"Hawaii County, HI"	"15001"	2349
	"Honolulu County, HI"	"15003"	12983
	"Maui County, HI"	"15009"	1882
	"Unidentified Counties, HI"	"15999"	845
	"Ada County, ID"	"16001"	5045
	"Bonneville County, ID"	"16019"	1910
	"Canyon County, ID"	"16027"	3129
	"Kootenai County, ID"	"16055"	1754
	"Unidentified Counties, ID"	"16999"	10644
