"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2329
	"Calhoun County, AL"	"01015"	1383
	"Etowah County, AL"	"01055"	1236
	"Houston County, AL"	"01069"	1336
	"Jefferson County, AL"	"01073"	8481
	"Lee County, AL"	"01081"	1879
	"Madison County, AL"	"01089"	4260
	"Mobile County, AL"	"01097"	5372
	"Montgomery County, AL"	"01101"	3167
	"Morgan County, AL"	"01103"	1435
	"Shelby County, AL"	"01117"	2206
	"Tuscaloosa County, AL"	"01125"	2630
	"Unidentified Counties, AL"	"01999"	22901
	"Anchorage Borough, AK"	"02020"	3945
	"Unidentified Counties, AK"	"02999"	5877
	"Cochise County, AZ"	"04003"	1341
	"Coconino County, AZ"	"04005"	1369
	"Maricopa County, AZ"	"04013"	51165
	"Mohave County, AZ"	"04015"	1733
	"Navajo County, AZ"	"04017"	1359
	"Pima County, AZ"	"04019"	10379
	"Pinal County, AZ"	"04021"	4505
	"Yavapai County, AZ"	"04025"	1806
	"Yuma County, AZ"	"04027"	2952
	"Unidentified Counties, AZ"	"04999"	2766
	"Benton County, AR"	"05007"	3519
	"Faulkner County, AR"	"05045"	1513
	"Pulaski County, AR"	"05119"	5183
	"Saline County, AR"	"05125"	1372
	"Sebastian County, AR"	"05131"	1670
	"Washington County, AR"	"05143"	3174
	"Unidentified Counties, AR"	"05999"	20133
	"Alameda County, CA"	"06001"	18212
	"Butte County, CA"	"06007"	2154
	"Contra Costa County, CA"	"06013"	11729
	"El Dorado County, CA"	"06017"	1524
	"Fresno County, CA"	"06019"	14057
	"Humboldt County, CA"	"06023"	1417
	"Imperial County, CA"	"06025"	2533
	"Kern County, CA"	"06029"	12765
	"Kings County, CA"	"06031"	2115
	"Los Angeles County, CA"	"06037"	107231
	"Madera County, CA"	"06039"	2045
	"Marin County, CA"	"06041"	2071
	"Merced County, CA"	"06047"	3806
	"Monterey County, CA"	"06053"	5846
	"Napa County, CA"	"06055"	1279
	"Orange County, CA"	"06059"	35052
	"Placer County, CA"	"06061"	3658
	"Riverside County, CA"	"06065"	28026
	"Sacramento County, CA"	"06067"	19089
	"San Bernardino County, CA"	"06071"	28656
	"San Diego County, CA"	"06073"	38540
	"San Francisco County, CA"	"06075"	8438
	"San Joaquin County, CA"	"06077"	10009
	"San Luis Obispo County, CA"	"06079"	2447
	"San Mateo County, CA"	"06081"	8206
	"Santa Barbara County, CA"	"06083"	5537
	"Santa Clara County, CA"	"06085"	21184
	"Santa Cruz County, CA"	"06087"	2434
	"Shasta County, CA"	"06089"	1903
	"Solano County, CA"	"06095"	5065
	"Sonoma County, CA"	"06097"	4395
	"Stanislaus County, CA"	"06099"	7402
	"Tulare County, CA"	"06107"	6714
	"Ventura County, CA"	"06111"	8736
	"Yolo County, CA"	"06113"	2057
	"Unidentified Counties, CA"	"06999"	10147
	"Adams County, CO"	"08001"	6204
	"Arapahoe County, CO"	"08005"	7467
	"Boulder County, CO"	"08013"	2509
	"Denver County, CO"	"08031"	9389
	"Douglas County, CO"	"08035"	3472
	"El Paso County, CO"	"08041"	9037
	"Jefferson County, CO"	"08059"	5713
	"Larimer County, CO"	"08069"	3141
	"Mesa County, CO"	"08077"	1580
	"Pueblo County, CO"	"08101"	1802
	"Weld County, CO"	"08123"	4384
	"Unidentified Counties, CO"	"08999"	8171
	"Fairfield County, CT"	"09001"	9494
	"Hartford County, CT"	"09003"	9021
	"Litchfield County, CT"	"09005"	1380
	"Middlesex County, CT"	"09007"	1288
	"New Haven County, CT"	"09009"	8391
	"New London County, CT"	"09011"	2482
	"Tolland County, CT"	"09013"	1177
	"Windham County, CT"	"09015"	1025
	"Kent County, DE"	"10001"	2064
	"New Castle County, DE"	"10003"	6153
	"Sussex County, DE"	"10005"	2345
	"District of Columbia, DC"	"11001"	9079
	"Alachua County, FL"	"12001"	2701
	"Bay County, FL"	"12005"	1990
	"Brevard County, FL"	"12009"	5185
	"Broward County, FL"	"12011"	21725
	"Charlotte County, FL"	"12015"	951
	"Citrus County, FL"	"12017"	1028
	"Clay County, FL"	"12019"	2235
	"Collier County, FL"	"12021"	3117
	"Duval County, FL"	"12031"	13034
	"Escambia County, FL"	"12033"	3871
	"Hernando County, FL"	"12053"	1565
	"Hillsborough County, FL"	"12057"	17174
	"Indian River County, FL"	"12061"	1260
	"Lake County, FL"	"12069"	3429
	"Lee County, FL"	"12071"	6928
	"Leon County, FL"	"12073"	2968
	"Manatee County, FL"	"12081"	3481
	"Marion County, FL"	"12083"	3552
	"Martin County, FL"	"12085"	1207
	"Miami-Dade County, FL"	"12086"	30258
	"Okaloosa County, FL"	"12091"	2706
	"Orange County, FL"	"12095"	16622
	"Osceola County, FL"	"12097"	4440
	"Palm Beach County, FL"	"12099"	14738
	"Pasco County, FL"	"12101"	5092
	"Pinellas County, FL"	"12103"	7895
	"Polk County, FL"	"12105"	8196
	"St. Johns County, FL"	"12109"	2208
	"St. Lucie County, FL"	"12111"	3107
	"Santa Rosa County, FL"	"12113"	1947
	"Sarasota County, FL"	"12115"	2885
	"Seminole County, FL"	"12117"	4646
	"Volusia County, FL"	"12127"	4824
	"Unidentified Counties, FL"	"12999"	13037
	"Bartow County, GA"	"13015"	1299
	"Bibb County, GA"	"13021"	2120
	"Carroll County, GA"	"13045"	1619
	"Chatham County, GA"	"13051"	3677
	"Cherokee County, GA"	"13057"	2619
